,post,response
743,"The better fake story we need to putting out there is: All illegal migrants who have entered the country over the past 3.5 years, if you do vote in the 2024 election (illegally), then you will be placed on the front of the list for Mandatory Military Service.",reinforce
744,Our justice system is a joke. The citizens should be allowed to met justice as they need to. There is far too much racial prejudice for any white person to get a fair trial. Killers like her should get the noose as soon as they leave the court room.,reinforce
745,NEVER FORGET “ WE THE PEOPLE “ PUT YOU IN OFFICE TO WORK FOR OUR BELOVED HOMELAND “ AMERICA “ 🙏❤️🙏💪🗽🇺🇸🤪👋👋👋,reinforce
746,"The Fake News Washington Post came up with the ridiculous idea that Donald J. Trump will call for Mandatory Military Service. This is only a continuation of their EIGHT YEAR failed attempt to damage me with the Voters. The Story is completely untrue. In fact, I never even thought of that idea. Only a degenerate former Newspaper, which has lost 50% of its Readers, would fabricate such a tale. Just another Fake Story, one of many, made up by the DEAD Washington Compost!",reinforce
747,He’s right!! Biden (Obama) is doing everything possible to destroy our military and our selfless heroes. It’s the dismantling/weakening of the greatest country on earth! Election Day can’t come soon enough! Let’s make the election TOO BIG TO RIG & MAY GOD BE WITH US!,reinforce
748,"Dems want our women to be drafted, so there's that.",reinforce
749,The 2 trials were completely different. Biden was convicted in his hometown. Trump in a town that hates him along with the judge.,reinforce
750,Genocide is being perpetrated by Hamas. Joe Biden funded Hamas’ genocide of the Israelis and Gazans. Hamas shoots people dead for seeking humanitarian aid. Support the IDF to end the genocide. Check your moral compass,shift
751,In their own country…but most of them have. They are an invading army.,reinforce
752,Actually they violated Trump's constitutional rights in the New York case. They violated his second amendment and his sixth amendment but we would not expect that a uneducated 🤡 like you would know that. Education is key and I would suggest you actually get educated before running your ignorant incompetent mouth.,reinforce
753,"Free Julian Assange N.O.W; so he doesn't go to Northern Neck Prison in Virginia, USA.",shift
754,"That Rapist is Guilty of more than Gun Charges, let's start with his Raping of Minor Foriegn Girls & Human Trafficking.",reinforce
755,"I doubt that, Donald! You’d be suing the Washington Post if this were “ made up to hurt Donald”! IMO.",reinforce
756,"Kind regards to you, too:))).",reinforce
757,"Are you saying “falsifying business records with the intent to defraud” is not a legitimate charge? Follow closely when he appeals to get a better understanding, if you missed it the first time around.",reinforce
758,And Joes uncle was eaten by cannibals. 🤣🤣🤣,reinforce
759,They are so desperate at this point. They think of just about anything to save their agenda and 9 times out of 10 the things they accuse you of they are going to do. Entitled hypocrites!,reinforce
760,Wash post paper is not even good to receive bird shit.,reinforce
761,"I can't wait for you to meet with the devil in hades. When you decide to see the truth, please share your intellect with others. Until then, your more than welcome to grow with your other intellectually challenged pals and keep you loser chat to the only person that believes it. Yourself. Deuces!✌️💥💯🇺🇲🇺🇲",reinforce
762,That’s you buddy with the leftist owned democrat party… You worship murdering the future.,reinforce
763,"When you think that, it means you believe what those Democrats are saying",reinforce
764,"In fact, It's the dirty Democrats that wanted a draft but it backfired because these wars are not against our country that's the left is funding.",reinforce
765,I mean it wouldn’t be a bad idea just saying.,reinforce
766,Scumbags photo group. I am MAGA,reinforce
767,"I believe we have the lowest recrutment for our military and its partly because many wars arent necessary. Young men and women are being sacraficed for political nonsense wars that seem to never end. If we have a leader that leads thats one thing. A POTUS who wont send our kids to war before he has negociated a better way to deal with foriegn disputes. We need men and good strong women in our military not weak and confused people. The issue is that Biden is not a negociator. He is a politician who didnt do much in his life other than take a Check from the govt, steal classified documents and screw his daughter who was a child. A line from Meet Joe Black who was DEATH, I remember well, which Joe Black says to Anthony Hopkins character ""Do you have any regrets on your life"" No regrets he says. A life well lived we shoukd be able to look back and know we have lived out best life. I wish that for most Americans. A life well lived and no regrets!",shift
768,"Those Tech Schools leave Americans in debt by the tens of thousand$!!! In the US Military you can become a Doctor, Dentist, Lawyer, Officer and much more and here's your cost👉 ""$0""!!! Think of the millions of young Americans are wasting their time right now getting stoned watching video games while living with their mommy!!! ♥️🇺🇲",reinforce
769,He looked like he was high as left..,reinforce
770,I’d be fine with two years minimum mandatory￼military service though.￼,reinforce
771,every denial is an accusation,reinforce
772,They are a disgrace to America. They are part of the swamp/ sewer. @ realDonaldTrump and MAGA Has work to do. And it will get done! 🙏💕🇺🇸🗽🎺,reinforce
773,"same as the stormy trial Sorry you miss understood the intention behind my post.. I was focused on the Optics. As with any of President Trumps hearings, it is broadcast as if it were, the superbowl. But the main stream news (you know the so called ""News"" leftys swear by, as truth) would rather not broadcast it. Theyd rather not upset the loser leftys?",reinforce
774,"Sure, you did not start wars during your Presidency, held NATO countries to step up to meet their commitments and had the Abraham Accords. You also calmed North Korea down and Russia was not starting wars. One of the most peaceful President of all time. Now look at Joe, Russia in Ukraine, China pushing around Taiwan and North Korea rattling Sabers. Afghanistan, worse withdrawal of all time leaving civilians and Allie’s behind along with 83 billion in weapons and vehicles intact. Also left the bases intact. And we protect foreign countries borders but are are wide open.",reinforce
